Link1,U1,5/28/2024,5/30/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link1,U2,6/12/2024,6/12/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link1,U3,6/15/2024,6/17/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link1,U4,6/7/2024,6/4/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link1,U5,6/26/2024,6/27/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link1,U6,6/1/2024,6/3/2024,https://www.airbnb.com/rooms/762257282885494569?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1529334449&search_mode=flex_destinations_search&source_impression_id=p3_1716380299_93yYJRhiImBfcYDO&previous_page_section_name=1000&federated_search_id=33fbca76-68f9-4b7b-8f4c-8129ca9e8b50&guests=1&check_in=2024-06-19&check_out=2024-06-22#availability-calendar
Link2,U1,6/5/2024,6/9/2024,https://www.airbnb.com/rooms/1052135661855774099?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1809752590&search_mode=regular_search&source_impression_id=p3_1716381999_vDAyvkBSJASWSkl3&previous_page_section_name=1000&federated_search_id=88478901-5d3a-43db-825b-4642b109592b&guests=1&check_in=2024-06-05&check_out=2024-06-06
Link2,U2,6/9/2024,6/14/2024,https://www.airbnb.com/rooms/1052135661855774099?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1809752590&search_mode=regular_search&source_impression_id=p3_1716381999_vDAyvkBSJASWSkl3&previous_page_section_name=1000&federated_search_id=88478901-5d3a-43db-825b-4642b109592b&guests=1&check_in=2024-06-05&check_out=2024-06-06
Link2,U3,6/14/2024,6/19/2024,https://www.airbnb.com/rooms/1052135661855774099?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1809752590&search_mode=regular_search&source_impression_id=p3_1716381999_vDAyvkBSJASWSkl3&previous_page_section_name=1000&federated_search_id=88478901-5d3a-43db-825b-4642b109592b&guests=1&check_in=2024-06-05&check_out=2024-06-06
Link2,U4,6/19/2024,6/15/2024,https://www.airbnb.com/rooms/1052135661855774099?adults=1&category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1809752590&search_mode=regular_search&source_impression_id=p3_1716381999_vDAyvkBSJASWSkl3&previous_page_section_name=1000&federated_search_id=88478901-5d3a-43db-825b-4642b109592b&guests=1&check_in=2024-06-05&check_out=2024-06-06
